抓取時間,是否開放申購,產品名稱,產品代碼,ISIN_CODE,票面利率,到期日,計價幣別,申購參考報價,申購報價日,贖回參考報價,贖回報價日,配息頻率,風險報酬等級,申購資格,走勢圖連結,產品說明書連結
2026-09-25 11:51:23,否,國際復興開發銀行零息債券,A043,US45905UAD63,無配息,2027/07/14,ZAR,90.46,2025/10/09,94.17,2026/09/24,-,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A043,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_a043.pdf
2026-09-25 11:51:23,否,南非開發銀行零息債券I,A049,XS0078962809,無配息,2027/12/31,ZAR,67.25,2024/04/26,88.35,2026/09/24,-,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A049,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_a049.pdf
2026-09-25 11:51:23,否,德意志銀行零息債券I,A053,XS0076085603,無配息,2027/05/27,ZAR,71.65,2024/04/26,94.18,2026/09/24,-,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A053,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_a053.pdf
2026-09-25 11:51:23,否,德意志銀行或有可轉換次順位永續債券ＶＩＩ,A110,XS1071551474,8.130,無到期日,USD,94.96,2024/04/26,102.57,2026/09/24,年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A110,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A110.pdf
2026-09-25 11:51:23,否,綠地控股集團有限公司債券ＩＩ,A113,XS1081321595,5.875,2030/07/03,USD,24.77,2024/12/27,15.81,2026/09/24,半年,RR5,限OBU專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A113,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A113.pdf
2026-09-25 11:51:23,是,花旗集團次順位債券Ｉ,A132,US172967JC62,4.300,2026/11/20,USD,101.19,2026/09/14,99.76,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A132,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A132.pdf
2026-09-25 11:51:23,是,匯豐控股公司債券ＶＩＩ,A166,US404280AM17,6.100,2042/01/14,USD,103.78,2026/09/24,99.83,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A166,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A166.pdf
2026-09-25 11:51:23,否,法國興業銀行或有可轉換次順位永續債券Ｖ,A171,USF8586CRW49,7.875,無到期日,USD,102.38,2023/12/13,99.46,2023/12/13,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A171,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A171.pdf
2026-09-25 11:51:23,是,ＡＴ＆Ｔ公司債券Ｉ,A205,US00206RCP55,4.500,2035/05/15,USD,92.13,2026/09/24,89.43,2026/09/24,半年,RR4,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A205,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A205.pdf
2026-09-25 11:51:23,否,法國電力公司次順位永續債券ＩＩ,A235,USF2893TAM83,5.625,無到期日,USD,101.92,2024/01/23,99.21,2024/01/23,半年,RR5,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A235,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A235.pdf
2026-09-25 11:51:23,否,義大利電信公司債券Ｉ,A244,US87927VAM00,6.000,2034/09/30,USD,87.90,2024/04/26,98.85,2026/09/24,半年,RR5,限OBU專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A244,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A244.pdf
2026-09-25 11:51:23,是,ＡＴ＆Ｔ公司債券ＩＩ,A255,US00206RBH49,4.300,2042/12/15,USD,81.47,2026/09/24,77.25,2026/09/24,半年,RR4,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A255,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A255.pdf
2026-09-25 11:51:23,否,沙烏地阿拉伯王國公債ＩＩ,A291,XS1508675417,3.250,2026/10/26,USD,99.67,2025/03/17,99.69,2026/09/24,半年,RR2,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A291,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A291.PDF
2026-09-25 11:51:23,是,沙烏地阿拉伯王國公債ＩＩＩ,A292,XS1508675508,4.500,2046/10/26,USD,81.55,2026/09/24,76.32,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A292,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A292.PDF
2026-09-25 11:51:23,否,日本第一生命保險公司次順位永續債券Ｉ,A301,USJ09748AD66,4.000,無到期日,USD,98.39,2024/04/26,99.47,2026/06/03,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A301,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A301.pdf
2026-09-25 11:51:23,是,德國商業銀行次順位債券ＩＩＩ,A315,DE000CZ40LW5,4.000,2027/03/30,EUR,101.72,2026/09/24,99.88,2026/09/24,年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A315,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A315.pdf
2026-09-25 11:51:23,否,蘋果公司債券ＩＩ,A323,US037833CJ77,3.350,2027/02/09,USD,100.26,2025/07/04,99.43,2026/09/24,半年,RR2,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A323,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A323.pdf
2026-09-25 11:51:23,是,蘋果公司債券ＩＩＩ,A324,US037833BW97,4.500,2036/02/23,USD,96.81,2026/09/24,93.85,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A324,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A324.pdf
2026-09-25 11:51:23,是,蘋果公司債券ＩＶ,A325,US037833CH12,4.250,2047/02/09,USD,83.23,2026/09/24,78.37,2026/09/24,半年,RR3,,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A325,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A325.pdf
2026-09-25 11:51:23,是,印尼國家石油公司債券ＩＩＩ,A327,USY7138AAD29,6.000,2042/05/03,USD,97.80,2026/09/24,93.15,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A327,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A327.pdf
2026-09-25 11:51:23,是,印尼國家電力公司債券Ｉ,A328,US71568QAB32,5.250,2042/10/24,USD,88.74,2026/09/24,83.85,2026/09/24,半年,RR5,限專業投資人,https://wealth.esunbank.com/zh-tw/offshore-bond/price/chart?bondid=A328,https://wealth.esunbank.com/zh-tw/-/media/ESUNBANK/Files/Wealth/Bonds/bond_A328.pdf
