抓取日期,產品代碼,ISIN_CODE,計價幣別,申購參考報價,申購報價日,贖回參考報價,贖回報價日
2026-09-25,A043,2027/07/14,"94.17
                                            (2026/09/24)",,,3,
2026-09-25,A049,2027/12/31,"88.35
                                            (2026/09/24)",,,5,
2026-09-25,A053,2027/05/27,"94.18
                                            (2026/09/24)",,,5,
2026-09-25,A110,無到期日,"102.57
                                            (2026/09/24)",年,,5,
2026-09-25,A113,2030/07/03,"15.81
                                            (2026/09/24)",半年,,5,
2026-09-25,A132,2026/11/20,"99.76
                                            (2026/09/24)",半年,,5,
2026-09-25,A166,2042/01/14,"99.83
                                            (2026/09/24)",半年,,5,
2026-09-25,A171,無到期日,"99.46
                                            (2023/12/13)",半年,,5,
2026-09-25,A205,2035/05/15,"89.43
                                            (2026/09/24)",半年,,4,
2026-09-25,A235,無到期日,"99.21
                                            (2024/01/23)",半年,,5,
2026-09-25,A244,2034/09/30,"98.85
                                            (2026/09/24)",半年,,5,
2026-09-25,A255,2042/12/15,"77.25
                                            (2026/09/24)",半年,,4,
2026-09-25,A291,2026/10/26,"99.69
                                            (2026/09/24)",半年,,2,
2026-09-25,A292,2046/10/26,"76.32
                                            (2026/09/24)",半年,,3,
2026-09-25,A301,無到期日,"99.47
                                            (2026/06/03)",半年,,5,
2026-09-25,A315,2027/03/30,"99.88
                                            (2026/09/24)",年,,5,
2026-09-25,A323,2027/02/09,"99.43
                                            (2026/09/24)",半年,,2,
2026-09-25,A324,2036/02/23,"93.85
                                            (2026/09/24)",半年,,3,
2026-09-25,A325,2047/02/09,"78.37
                                            (2026/09/24)",半年,,3,
2026-09-25,A327,2042/05/03,"93.15
                                            (2026/09/24)",半年,,5,
2026-09-25,A328,2042/10/24,"83.85
                                            (2026/09/24)",半年,,5,
2026-09-25,A343,2042/09/11,"92.69
                                            (2026/09/24)",半年,,5,
2026-09-25,A347,2032/06/01,"100.27
                                            (2026/09/24)",年,,3,
2026-09-25,A351,2027/03/15,"99.29
                                            (2026/09/24)",半年,,5,
2026-09-25,A357,2027/08/17,"98.94
                                            (2026/09/24)",半年,,4,
2026-09-25,A359,2027/06/17,"94.63
                                            (2026/09/24)",,,3,
2026-09-25,A361,2026/12/21,"99.91
                                            (2026/09/24)",年,,3,
2026-09-25,A363,2047/05/20,"76.76
                                            (2026/09/24)",半年,,3,
2026-09-25,A364,2047/08/15,"66.22
                                            (2026/09/24)",半年,,3,
2026-09-25,A365,2036/07/15,"77.80
                                            (2026/09/24)",半年,,3,
2026-09-25,A367,2027/09/19,"98.79
                                            (2026/09/24)",半年,,5,
2026-09-25,A370,2042/12/03,"78.91
                                            (2026/09/24)",半年,,3,
2026-09-25,A379,2048/01/10,"75.20
                                            (2026/09/24)",半年,,5,
2026-09-25,A382,2028/04/15,"99.30
                                            (2026/09/24)",半年,,5,
2026-09-25,A385,2028/02/09,"97.85
                                            (2026/09/24)",半年,,4,
2026-09-25,A389,無到期日,"99.58
                                            (2026/09/24)",半年,,5,
2026-09-25,A390,2027/03/13,"100.16
                                            (2026/09/24)",半年,,5,
2026-09-25,A391,2028/03/13,"99.36
                                            (2026/09/24)",半年,,5,
2026-09-25,A392,2028/03/23,"98.66
                                            (2026/09/24)",半年,,5,
2026-09-25,A393,2047/08/22,"72.49
                                            (2026/09/24)",半年,,3,
2026-09-25,A394,2037/08/22,"83.76
                                            (2026/09/24)",半年,,3,
2026-09-25,A398,2029/01/30,"98.17
                                            (2026/09/24)",半年,,4,
2026-09-25,A400,2044/11/04,"79.63
                                            (2026/09/24)",半年,,5,
2026-09-25,A401,2045/08/15,"75.15
                                            (2026/09/24)",半年,,3,
2026-09-25,A402,2047/01/17,"99.44
                                            (2026/09/24)",半年,,3,
2026-09-25,A404,2028/01/27,"100.88
                                            (2026/09/24)",半年,,5,
2026-09-25,A408,2029/04/23,"97.28
                                            (2026/09/24)",半年,,5,
2026-09-25,A409,2028/07/22,"98.51
                                            (2026/09/24)",半年,,5,
2026-09-25,A410,2044/03/14,"88.35
                                            (2026/09/24)",半年,,5,
2026-09-25,A411,2041/11/01,"83.80
                                            (2026/09/24)",半年,,3,
2026-09-25,A419,2046/10/06,"69.37
                                            (2026/09/24)",半年,,3,
2026-09-25,A420,2029/02/15,"102.00
                                            (2026/09/24)",月,,3,
2026-09-25,A421,2029/02/15,"98.06
                                            (2026/09/23)",月,,4,
2026-09-25,A422,2048/11/16,"80.72
                                            (2026/09/24)",半年,,4,
2026-09-25,A423,2040/09/01,"89.72
                                            (2026/09/24)",半年,,4,
2026-09-25,A424,2027/11/25,"98.87
                                            (2026/09/24)",半年,,5,
